,,test mIoU,test mIoU,test mIoU,test mIoU,test ood mIoU,test ood mIoU,test ood mIoU,test ood mIoU
,,mean,mean,std,std,mean,mean,std,std
dataset,,reBEN_7k,sen1floods11,reBEN_7k,sen1floods11,reBEN_7k,sen1floods11,reBEN_7k,sen1floods11
model,peft_type,,,,,,,,
UNet (Rand.),Full FT,34.623188972473145,90.74597716331482,0.6348381627530596,0.5266225045378194,25.426191687583923,87.80696749687195,0.6965823725194571,0.43657563013870965
ViT (IN-21K),Full FT,36.149975657463074,89.18878316879272,0.2831770646006109,0.34557969719035553,27.136669754981995,82.66687512397766,0.5307931808517303,2.4448587720152117
DeCUR,Linear Prob.,28.292587399482727,80.8307135105133,0.11636638187727386,0.17229696580164847,23.29306274652481,74.76345300674438,0.07363648201986318,0.6292470059652527
DeCUR,Full FT,36.053727865219116,86.87201261520386,0.32923913713979897,0.18647146293769698,27.59806990623474,85.84470987319946,0.3388538847872012,0.3583042019547043
Clay v1,Linear Prob.,32.64938235282898,89.56876277923584,0.07064686842115661,0.029683584186538745,24.379566311836243,84.88282680511475,0.08487055911675437,0.02476966034287842
Clay v1,VPT,36.867281794548035,89.66626286506653,0.24600235885610372,0.33402053499019163,28.77223491668701,87.28923797607422,0.4711003130596013,1.159902285934208
Clay v1,LoRA,38.67152452468872,90.41420459747314,0.480443034354995,0.17389846054400088,28.442053198814392,88.88326048851013,0.43555053040416647,0.6136207661619961
Clay v1,Full FT,38.67386877536774,90.40955305099487,0.41433671627449925,0.19447820997996085,29.067068099975586,88.32773923873901,1.9959194840875318,0.5194032648060921
Prithvi 1.0 100M,Linear Prob.,27.071154713630676,88.77841114997864,0.08648566157900443,0.01805836720109117,24.038853645324707,79.57358479499817,0.23299451288808487,0.28012969621036654
Prithvi 1.0 100M,VPT,29.979021549224854,89.02821063995361,0.43113220018097076,0.13716422021208913,22.651087045669556,64.35093760490417,0.3751576712294242,9.013847109093485
Prithvi 1.0 100M,LoRA,30.604389309883118,89.33214545249939,0.46257188239608965,0.07568509099582994,24.091522991657257,61.24545454978943,0.7474242027315557,4.574053613020506
Prithvi 1.0 100M,ViT Adapter,32.897353768348694,87.71764755249023,0.4291334058364984,0.30487804665113627,25.661051273345947,82.30748653411865,0.7170648064509492,1.4195856847517847
Prithvi 1.0 100M,Full FT,31.822741627693176,89.01765942573547,0.5323856596319708,0.07295932102273492,24.52874630689621,74.16161179542542,0.5124385792266193,0.77945805999676
Prithvi 2.0 300M,Linear Prob.,31.248061060905457,88.07793855667114,0.0891517229679843,0.05723253680828369,24.863353967666626,83.1910240650177,0.22222041269454973,0.5655113381033285
Prithvi 2.0 300M,VPT,38.400176763534546,89.30842757225037,0.34098772719728127,0.1822105534781592,29.825146198272705,86.18881464004517,0.8888308624441628,0.9065302079919904
Prithvi 2.0 300M,LoRA,38.84195029735565,90.03552079200745,0.23189062145204034,0.17223871665326781,30.208545923233032,87.57480263710022,0.7399398195809895,0.7675596288416762
Prithvi 2.0 300M,ViT Adapter,35.14308273792267,88.5240626335144,0.480777003619502,0.34616030371360884,26.992318630218506,84.93939995765686,0.8231501148516335,0.4982898982915612
Prithvi 2.0 300M,Full FT,37.41523265838623,90.13022184371948,0.6150970112304146,0.21722611790618135,28.121840357780457,82.06730127334595,0.5980876871138853,1.9621706022539536
